Address,Latitude,Longitude
"62 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"21 Bond St, Melbourne, Victoria 3000 Australia",-37.818209,144.962643
"365 La Trobe St, Melbourne, Victoria 3000 Australia",-37.8112731,144.9587623
"366 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8123114,144.9615654
"11 Collins St, Melbourne, Victoria 3000 Australia",-37.81376445,144.97346737762527
"8 Rankins Lane, Melbourne, Victoria 3000 Australia",-37.8135022,144.9620365
"53 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",-37.8054823,144.9759358
"303 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7979683,144.978375
"445 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"533 Brunswick St Melbourne, North Fitzroy, Yarra, Victoria 3068 Australia",-37.7932199,144.9793387
"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8145652,144.9616725
"116 Bridport St, Albert Park, Port Phillip, Victoria 3206 Australia",-37.84027865,144.95636869449885
"Shop 123, Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8049263,144.9661339
"495 Collins St, Melbourne, Victoria 3000 Australia",-37.8185522,144.9579495
"12 Degraves St, Melbourne, Victoria 3000 Australia",-37.8175596,144.9659417
"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8107242,144.9716776
"323 Lygon St, Melbourne, Victoria 3053 Australia",-37.7977805,144.9672295
"285 High St, Kew, Boroondara, Victoria 3101 Australia",-37.8057905,145.0335515
"106 Hardware St, Melbourne, Victoria 3000 Australia",-37.812124,144.9606421
"183 St Georges Rd, North Fitzroy, Yarra, Victoria 3068 Australia",-37.7848639,144.9823189
"1 Hosier Lane, Melbourne, Victoria 3000 Australia",-37.8165887,144.9691595
"164 Flinders St, Melbourne, Victoria 3000 Australia",-37.8174473,144.967236
"99 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",-37.857356,144.99234
"45 South Wharf Promenade, Melbourne, Victoria Australia",-37.8240427,144.9536545
"285 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7988408,144.9782369
"285 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",-37.7988408,144.9782369
"476 Glen Huntly Rd, Elsternwick, Glen Eira, Victoria 3185 Australia",-37.8852786,145.00780143333333
"67 Village St Docklands, Melbourne, Victoria 3008 Australia",-37.8205673,144.9505454
"174-176 Queen St, Melbourne, Victoria 3000 Australia",-37.8075659,144.9579251
"Crown Entertainment Complex 8 Whiteman St, Melbourne, Victoria 3006 Australia",-37.82333165,144.95828578718215
"175 Swan St, Richmond, Yarra, Victoria 3121 Australia",-37.82595286470588,145.00129771176472
"60 Market St, Melbourne, Victoria 3000 Australia",-37.8178041,144.9605886
"76 Bourke St, Melbourne, Victoria 3000 Australia",-37.811754,144.971007
"25 Wills St, Melbourne, Victoria 3000 Australia",-37.8107145,144.9571233
"254 La Trobe St, Melbourne, Victoria 3000 Australia",-37.8080424,144.9688977
"378 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8126385,144.9724818
"367 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.813643556451616,144.96167537903224
"401 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8138494,144.9610097
"Lygon Street Carlton, Melbourne, Victoria 3053 Australia",-37.8005553,144.9667486
"318 Bridge Rd, Richmond, Yarra, Victoria 3121 Australia",-37.818964234615386,145.00189277692309
