name,rankingPosition,priceLevel,category,rating,numberOfReviews,Address,City,postcode
Chez Olivier,1,$$ - $$$,restaurant,4.5,356,268 Toorak Rd,South Yarra,3141
Da Noi,270,$$$$,restaurant,4.0,274,95 Toorak Rd South Yarra,Melbourne,3141
Bibelot,293,$$ - $$$,restaurant,4.5,80,285-287 Coventry St,Melbourne,3205
Oriental Tea House,255,$$ - $$$,restaurant,4.0,221,378 Little Collins St,Melbourne,3000
Fonda Mexican,349,$$ - $$$,restaurant,4.0,312,31 Flinders Lane,Melbourne,3000
Corner & Bench,346,$,restaurant,4.5,86,408 Bourke St,Melbourne,3000
Saporito Cafe Bar & Grill,352,$$ - $$$,restaurant,4.5,71,12-16 Kavanagh St,Melbourne,3006
Pope Joan,354,$$ - $$$,restaurant,4.0,170,45 Collins St,Melbourne,3000
The Hof Downtown,383,$$ - $$$,restaurant,4.0,160,737 Bourke St Corner of Bourke and Village Street,Melbourne,3008
Hurricane Handsome,341,$$ - $$$,restaurant,4.5,89,329-331 Bay St,Melbourne,3207
Yeonga Korean BBQ,344,$$ - $$$,restaurant,4.5,76,1-3 Cobden St,Melbourne,3051
The Crux & Co,331,$$ - $$$,restaurant,4.5,100,35 Albert Rd G01,Melbourne,3004
Phancy Cafe,340,$$ - $$$,restaurant,4.5,93,408 Queen St,Melbourne,3000
The Irish Times Pub,353,$$ - $$$,restaurant,4.0,270,427 Little Collins St,Melbourne,3000
Ecco,335,$$ - $$$,restaurant,4.0,157,97 Toorak Rd,Melbourne,3141
George Street Cafe,332,$$ - $$$,restaurant,4.5,66,65 George St,Melbourne,3002
Collins Kitchen,357,$$$$,restaurant,4.0,273,123 Collins St,Melbourne,3000
Lamaro's Hotel,328,$$ - $$$,restaurant,4.0,194,273 Cecil St,Melbourne,3205
Andrew's Hamburgers,249,$,restaurant,4.5,169,144 Bridport St,Melbourne,3206
Flora Indian Restaurant,385,$,restaurant,4.0,235,238A Flinders St,Melbourne,3000
Kiwi Fish & Chips,382,$$ - $$$,restaurant,4.5,89,412-422 Victoria Pde Shop 9B,Melbourne,3002
Claypots Evening Star,372,$$ - $$$,restaurant,4.5,137,Corner Cecil and York Streets South Melbourne Market,Melbourne,3205
Radii Restaurant & Bar,384,$$$$,restaurant,4.0,211,1 Parliament Pl,Melbourne,3002
Riverland,375,$$ - $$$,restaurant,4.0,317,Vaults 1-9 Federation Wharf Federation Square,Melbourne,3000
Saxe,379,$$ - $$$,restaurant,4.5,52,211 Queen St,Melbourne,3000
Little Africa,362,$$ - $$$,restaurant,4.5,58,358 Victoria St,Melbourne,3051
Plus 5,359,$$ - $$$,restaurant,4.0,233,37 South Wharf Promenade,Melbourne,3008
A25 Pizzeria CBD,363,$$ - $$$,restaurant,4.5,77,Taylors College 399 Lonsdale St,Melbourne,3000
Hooks At The Yarra,390,$$ - $$$,restaurant,4.5,130,Yarra's Edge 50 River Esp Docklands,Melbourne,3008
Dish & Spoon,2,$$ - $$$,restaurant,4.5,72,122 Highfield Rd,Camberwell,3124
Garden State Hotel,345,$$ - $$$,restaurant,4.0,299,101 Flinders Lane,Melbourne,3000
Kri Kri,333,$$ - $$$,restaurant,4.0,370,39-41 Little Bourke St,Melbourne,3000
Saint & Rogue,330,$$ - $$$,restaurant,4.0,127,582 Little Collins St,Melbourne,3000
The Crafty Squire,299,$$ - $$$,restaurant,4.0,363,127 Russell St,Melbourne,3000
Abla's,316,$$ - $$$,restaurant,4.0,204,109 Elgin St,Melbourne,3053
Spring Street Grocer Cafe,305,$$ - $$$,restaurant,4.5,96,157 Spring St,Melbourne,3000
Left Bank Melbourne,368,$$ - $$$,restaurant,3.5,841,1 Southbank Boulevard,Melbourne,3006
French Saloon,370,$$$$,restaurant,4.5,92,46 Hardware Lane First Floor,Melbourne,3000
The Moat,365,$$ - $$$,restaurant,4.0,123,176 Little Lonsdale St,Melbourne,3000
The League of Honest Coffee,386,$$ - $$$,restaurant,4.5,94,8 Exploration Lane,Melbourne,3000
The Louden Kitchen & Grill,387,$$ - $$$,restaurant,4.0,157,265 Little Bourke St,Melbourne,3000
Hot Poppy,364,$$ - $$$,restaurant,4.5,74,9 Errol St,Melbourne,3051
The Essence,369,$$ - $$$,restaurant,4.0,240,Corner Exhibition & Lonsdale Streets Melbourne Marriott Hotel,Melbourne,3000
Bratwurst Shop & Co,388,$,restaurant,4.5,73,Therry St. Queen Victoria Market Shop 99-100,Melbourne,3000
Rocket Burger & Fries,321,$,restaurant,4.5,131,Cnr Flinders & Elizabeth Streets 26 Elizabeth St,Melbourne,3000
Dock 37 Bar and Kitchen,337,$$ - $$$,restaurant,4.0,177,2 Convention Centre Pl South Wharf,Melbourne,3006
Shakahari too,355,$$ - $$$,restaurant,4.5,89,225 Clarendon St,Melbourne,3205
Aix Cafe,358,$,restaurant,4.5,85,24 Centre Pl,Melbourne,3000
Cafe Issus,339,$$ - $$$,restaurant,4.0,264,8-10 Centre Pl,Melbourne,3000
The Tippler & Co,336,$$ - $$$,restaurant,4.5,121,58 Wellington Pde,Melbourne,3002
Pretty Boy Italian Steakhouse,348,$$ - $$$,restaurant,4.5,73,399 Little Lonsdale Street Level 1,Melbourne,3000
Elephant and Wheelbarrow,327,$$ - $$$,restaurant,3.5,582,94-96 Bourke St,Melbourne,3000
Yassas - The Greek Way,392,$$ - $$$,restaurant,4.0,399,4-9/3 Southgate Ave Southgate Plaza,Melbourne,3006
Locanda Restaurant & Public Bar,317,$$ - $$$,restaurant,4.0,369,186 Exhibition St,Melbourne,3000
Pud Thai vs Pho,347,$,restaurant,4.5,103,60 Siddeley St,Melbourne,3008
Sake Restaurant & Bar,389,$$ - $$$,restaurant,4.0,181,121 Flinders Lane,Melbourne,3000
Cafe Keyif,343,$$ - $$$,restaurant,4.5,138,U 1 550 Flinders St Entry Through Downie Street,Melbourne,3000
Ginza Teppanyaki,380,$$ - $$$,restaurant,4.0,229,139 Little Bourke St,Melbourne,3000
American Doughnut Kitchen,374,$,restaurant,4.5,100,Queen St,Melbourne,3000
Eliana Lulu,287,$$ - $$$,restaurant,4.0,166,7-9 Centre Pl,Melbourne,3000
Dumplings Plus,381,$,restaurant,4.0,264,269 Swanston St,Melbourne,3000
Curry Vault Indian Restaurant and Bar,334,$$ - $$$,restaurant,4.0,300,18-20 Bank Pl,Melbourne,3000
Massi,320,$$ - $$$,restaurant,4.5,83,445 Little Collins St,Melbourne,3000
Shark Fin Inn,406,$$ - $$$,restaurant,3.5,586,50 Little Bourke St,Melbourne,3000
The Crane Restaurant,416,$$ - $$$,restaurant,4.0,194,212 Little Bourke St,Melbourne,3000
Daughter in Law,404,$$ - $$$,restaurant,4.0,113,37 Little Bourke St Ground Floor,Melbourne,3000
Hawker Boys,399,$,restaurant,4.5,70,85 Hardware Lane,Melbourne,3000
Carlton Curry House,400,$$ - $$$,restaurant,4.5,204,108 Lygon St,Melbourne,3053
Atrium Bar On 35,421,$$$$,restaurant,4.5,83,25 Collins St,Melbourne,3000
Sakura Kaiten,361,$$ - $$$,restaurant,4.5,132,60 Little Collins St,Melbourne,3000
The Hardware Club,218,$$ - $$$,restaurant,5.0,57,43 Hardware Lane,Melbourne,3000
D.O.C,356,$$ - $$$,restaurant,4.0,262,326 Lygon St Carlton,Melbourne,3053
Jungle Juice Bar,393,$,restaurant,4.5,78,20 Centre Pl,Melbourne,3000
Park Street Pasta & Wine,443,$$ - $$$,restaurant,4.5,91,268 Park St South Melbourne,Melbourne,3205
Bella Cosi,446,$$ - $$$,restaurant,4.5,71,71 Beach St,Melbourne,3207
At Ease - Easy Thai,437,$,restaurant,4.5,75,195 Lonsdale St,Melbourne,3000
Thai city,438,$$ - $$$,restaurant,4.5,72,124 Lygon Street Carlton,Melbourne,3000
Tokui Sushi,429,$,restaurant,5.0,50,260 Lonsdale St,Melbourne,3000
